fill date,Site,date of deployment,date of retrieval,numDaysField,initialMass,dryMass,Source_Cond,Site_Cond,Batch,Site,numDaysField,Batch,initialMass,dryMass,Source_Cond,Site_Cond,,,,,,,
7/12/2018,3,18/12/2018,15/1/2019,28,6.06,4.28,dry,wet,D8,3,28,D8,6.06,4.28,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,3,18/12/2018,15/1/2019,28,6.03,4.31,wet,wet,W8,3,28,W8,6.03,4.31,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,20/11/2018,28,6.06,4.51,dry,wet,D5,3,28,D5,6.06,4.51,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,20/11/2018,28,6.03,4.61,dry,wet,D5,3,28,D5,6.03,4.61,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,20/11/2018,28,6.57,NA,wet,wet,W5,3,28,W5,6.57,NA,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.42,3.58,wet,wet,W3,3,56,W3,6.42,3.58,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.12,3.77,wet,wet,W3,3,56,W3,6.12,3.77,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.1,4.08,dry,wet,D3,3,56,D3,6.1,4.08,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.15,4.18,wet,wet,W3,3,56,W3,6.15,4.18,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.06,4.19,wet,wet,W3,3,56,W3,6.06,4.19,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.06,4.38,dry,wet,D3,3,56,D3,6.06,4.38,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6,4.39,dry,wet,D3,3,56,D3,6,4.39,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.07,NA,dry,wet,D3,3,56,D3,6.07,NA,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.02,4.47,wet,wet,W6,3,58,W6,6.02,4.47,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.19,4.6,wet,wet,W6,3,58,W6,6.19,4.6,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.24,4.68,dry,wet,D6,3,58,D6,6.24,4.68,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.54,4.73,wet,wet,W6,3,58,W6,6.54,4.73,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.16,4.81,dry,wet,D6,3,58,D6,6.16,4.81,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.58,5.29,dry,wet,D6,3,58,D6,6.58,5.29,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.31,3.61,dry,wet,W1,3,113,D1,6.31,3.61,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.02,3.62,dry,wet,W2,3,113,D2,6.02,3.62,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.06,3.8,wet,wet,W1,3,113,W1,6.06,3.8,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.11,4.03,dry,wet,W2,3,113,D2,6.11,4.03,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.33,4.11,wet,wet,W2,3,113,W2,6.33,4.11,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.03,4.14,wet,wet,W1,3,113,W1,6.03,4.14,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.62,4.15,dry,wet,W1,3,113,D1,6.62,4.15,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.32,4.22,dry,wet,W1,3,113,D1,6.32,4.22,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.05,4.26,wet,wet,W1,3,113,W1,6.05,4.26,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.11,4.31,wet,wet,W2,3,113,W2,6.11,4.31,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.77,4.33,dry,wet,W1,3,113,D1,6.77,4.33,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.19,4.43,wet,wet,W2,3,113,W2,6.19,4.43,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.05,4.61,dry,wet,W2,3,113,D2,6.05,4.61,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.15,4.72,wet,wet,W1,3,113,W1,6.15,4.72,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,3,9/10/2018,3/6/2019,237,6.12,3.05,dry,wet,D4,3,237,D4,6.12,3.05,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,3,9/10/2018,3/6/2019,237,6.02,3.93,wet,wet,W4,3,237,W4,6.02,3.93,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.01,1.95,wet,wet,W7,3,238,W7,6.01,1.95,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.07,2.24,wet,wet,W7,3,238,W7,6.07,2.24,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.17,2.6,dry,wet,D7,3,238,D7,6.17,2.6,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.36,2.7,dry,wet,D7,3,238,D7,6.36,2.7,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,18/6/2019,238,6.09,2.71,dry,wet,D5,3,238,D5,6.09,2.71,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.06,2.73,wet,wet,W7,3,238,W7,6.06,2.73,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.25,3.25,dry,wet,D7,3,238,D7,6.25,3.25,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,18/6/2019,238,6.2,3.53,wet,wet,W5,3,238,W5,6.2,3.53,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6,2.66,wet,wet,D9,3,245,W9,6,2.66,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6.11,3.74,dry,wet,D9,3,245,D9,6.11,3.74,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6,4.17,wet,wet,D9,3,245,W9,6,4.17,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6.24,4.24,dry,wet,D9,3,245,D9,6.24,4.24,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,4,18/12/2018,18/12/2018,0,6.07,4.23,dry,wet,D8,4,0,D8,6.07,4.23,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
